epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,460.361,0.7354,1.1516,1.73537,0.64412,0.59733,0.56842,0.49155,0.7298,1.44932,1.21331,0.000181703,0.000181703,0.000181703
92,466.074,0.36476,0.64337,1.13414,0.63122,0.66369,0.57865,0.49714,0.74877,1.35941,1.24916,0.0001652,0.0001652,0.0001652
93,471.06,0.34873,0.64993,1.07986,0.74341,0.6875,0.62012,0.52511,0.74809,1.23059,1.26574,0.000148696,0.000148696,0.000148696
94,475.948,0.59345,1.00824,1.32271,0.65719,0.71656,0.62189,0.51999,0.74371,1.30204,1.23015,0.000132193,0.000132193,0.000132193
95,480.322,0.54944,0.74958,1.24626,0.62017,0.71875,0.59917,0.49904,0.73988,1.44703,1.21893,0.00011569,0.00011569,0.00011569
96,485.307,0.31232,0.39391,1.08491,0.68425,0.71875,0.59926,0.49108,0.72594,1.53401,1.20098,9.91865e-05,9.91865e-05,9.91865e-05
97,489.964,0.33306,0.37846,1.12594,0.6136,0.71875,0.59918,0.49787,0.70464,1.554,1.17686,8.26832e-05,8.26832e-05,8.26832e-05
98,494.363,0.49043,0.98678,1.32077,0.63198,0.71875,0.59502,0.49445,0.71233,1.6177,1.18913,6.61799e-05,6.61799e-05,6.61799e-05
99,499.263,0.32169,0.3839,1.06027,0.66649,0.71875,0.60344,0.48495,0.71608,1.60395,1.19913,4.96766e-05,4.96766e-05,4.96766e-05
100,504.042,0.38141,0.36231,1.30176,0.64182,0.71875,0.59271,0.48415,0.74129,1.56446,1.22996,3.31733e-05,3.31733e-05,3.31733e-05
