epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,889.66,2.23818,3.75282,2.40527,0.00154,0.84615,0.00926,0.00349,1.96795,4.03613,2.43359,0.001208,0.001208,0.001208
82,899.044,2.10066,3.86026,2.24937,0.00175,0.92308,0.01662,0.00748,1.87031,3.84836,2.24308,0.0011981,0.0011981,0.0011981
83,908.696,2.23521,3.93109,2.30901,0.00135,0.84615,0.01315,0.0061,1.99392,4.16266,2.30149,0.0011882,0.0011882,0.0011882
84,920.223,2.17378,3.78671,2.30228,0.00161,0.76923,0.01087,0.0048,2.12836,3.84301,2.34992,0.0011783,0.0011783,0.0011783
85,929.035,2.1519,3.73943,2.30678,0.00157,0.76923,0.00756,0.0026,2.24071,nan,2.51584,0.0011684,0.0011684,0.0011684
86,940.193,2.21933,3.7074,2.30149,0.00106,0.76923,0.02166,0.01063,2.08431,4.4906,2.40806,0.0011585,0.0011585,0.0011585
87,949.93,2.19106,3.83086,2.33269,0.00154,0.92308,0.02237,0.01246,2.03002,3.8629,2.35733,0.0011486,0.0011486,0.0011486
88,967.096,2.0384,3.82673,2.15355,0.00175,0.92308,0.00475,0.00212,1.94602,3.67451,2.24576,0.0011387,0.0011387,0.0011387
89,977.665,2.06575,3.69415,2.22182,0.00214,0.76923,0.00895,0.00244,2.11557,3.68869,2.31226,0.0011288,0.0011288,0.0011288
90,987.434,1.96628,3.88861,2.1213,0.00368,0.69231,0.00736,0.00232,2.47205,3.85107,2.53561,0.0011189,0.0011189,0.0011189
91,998.543,2.01255,3.67284,2.15162,0.00243,0.76923,0.00626,0.00214,2.22237,3.86427,2.39248,0.001109,0.001109,0.001109
92,1015.52,2.13254,3.73116,2.26441,0.00223,0.76923,0.00822,0.00337,2.13568,3.91947,2.35655,0.0010991,0.0010991,0.0010991
93,1029,2.03698,3.73148,2.22447,0.00333,0.61538,0.00492,0.00228,2.22534,4.02144,2.40356,0.0010892,0.0010892,0.0010892
94,1042.29,2.10622,3.49891,2.26055,0.00261,0.84615,0.00765,0.00337,2.06481,3.69693,2.35572,0.0010793,0.0010793,0.0010793
95,1054.79,2.11873,3.55007,2.271,0.00182,0.76923,0.01757,0.00689,2.13697,3.99751,2.44619,0.0010694,0.0010694,0.0010694
96,1065.88,2.13872,3.4482,2.27564,0.00203,0.76923,0.00739,0.00257,2.16201,4.21929,2.45318,0.0010595,0.0010595,0.0010595
97,1075.06,1.90539,3.8599,2.08539,0.00179,0.76923,0.02135,0.00824,2.11905,4.21619,2.37051,0.0010496,0.0010496,0.0010496
98,1086.7,2.0294,3.61892,2.20419,0.00238,0.76923,0.01493,0.00513,2.33727,3.82246,2.44146,0.0010397,0.0010397,0.0010397
99,1102.92,2.06167,3.53635,2.16865,0.00261,0.53846,0.00443,0.00139,2.29911,3.95057,2.39296,0.0010298,0.0010298,0.0010298
100,1111.13,1.95173,3.67921,2.13178,0.00372,0.84615,0.00706,0.00217,2.27804,3.85517,2.44111,0.0010199,0.0010199,0.0010199
101,1120.11,2.04842,3.40346,2.21636,0.00242,0.84615,0.09452,0.04276,2.15216,3.49578,2.35741,0.00101,0.00101,0.00101
102,1139.18,2.07294,3.48396,2.15475,0.00259,0.84615,0.03563,0.01293,2.21291,3.66423,2.40104,0.0010001,0.0010001,0.0010001
103,1149.44,2.10245,3.56171,2.20999,0.00281,0.76923,0.02014,0.00579,2.32133,3.79744,2.55006,0.0009902,0.0009902,0.0009902
104,1158.58,2.02019,3.61672,2.15549,0.00432,0.76923,0.04621,0.01644,2.42796,3.87613,2.62773,0.0009803,0.0009803,0.0009803
105,1167.8,2.14912,3.51696,2.24359,0.00177,0.53846,0.00827,0.0047,2.39813,4.20037,2.69809,0.0009704,0.0009704,0.0009704
106,1177.27,2.06999,3.65812,2.20768,0.00125,0.61538,0.01559,0.00466,2.30092,4.93324,2.77686,0.0009605,0.0009605,0.0009605
107,1188.76,2.08787,3.56198,2.2177,0.00125,0.61538,0.00383,0.00165,2.17613,4.32525,2.62228,0.0009506,0.0009506,0.0009506
108,1204.41,2.22879,3.62448,2.26863,0.00181,0.84615,0.01021,0.00398,2.06734,3.68005,2.39262,0.0009407,0.0009407,0.0009407
109,1218.5,1.98719,3.66193,2.13845,0.00185,0.92308,0.005,0.00189,2.02598,3.80048,2.28346,0.0009308,0.0009308,0.0009308
110,1235.67,1.98601,3.31333,2.19919,0.00198,0.84615,0.04333,0.01208,2.02375,3.6038,2.36084,0.0009209,0.0009209,0.0009209
