epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,229.658,2.00813,2.75964,2.61959,0.61972,0.1087,0.12184,0.0603,1.911,2.73573,2.57757,0.000462259,0.000462259,0.000462259
75,232.229,2.04466,2.70414,2.59553,0.58266,0.18525,0.14686,0.06563,1.94931,2.71416,2.56006,0.000445756,0.000445756,0.000445756
76,235.83,2.01755,2.77313,2.57485,0.62548,0.21739,0.16173,0.0602,2.00517,2.65573,2.59908,0.000429253,0.000429253,0.000429253
77,238.394,2.00431,2.59684,2.57003,0.7213,0.21739,0.18128,0.05643,2.08089,2.64752,2.69749,0.000412749,0.000412749,0.000412749
78,240.984,2.00624,2.69369,2.58566,0.67046,0.22507,0.19268,0.0527,2.14449,2.67921,2.82963,0.000396246,0.000396246,0.000396246
79,243.515,1.95977,2.60092,2.55217,0.65753,0.19565,0.18114,0.05908,2.12499,2.66539,2.75745,0.000379743,0.000379743,0.000379743
80,246.19,2.02018,2.59711,2.56563,0.67573,0.12963,0.14287,0.05503,2.03601,2.65478,2.63351,0.000363239,0.000363239,0.000363239
81,249.645,2.01815,2.67484,2.61396,0.61955,0.13043,0.14399,0.05863,1.96685,2.66125,2.59743,0.000346736,0.000346736,0.000346736
82,252.171,1.9788,2.70222,2.55583,0.09366,0.1354,0.12843,0.05521,1.9005,2.61149,2.57032,0.000330233,0.000330233,0.000330233
83,254.797,1.98351,2.6349,2.55124,0.14704,0.15217,0.14638,0.06107,1.92806,2.54089,2.61069,0.000313729,0.000313729,0.000313729
84,257.321,1.93517,2.63605,2.47429,0.65551,0.19629,0.14528,0.05515,2.02578,2.63496,2.66262,0.000297226,0.000297226,0.000297226
85,260.467,1.97855,2.69745,2.58822,0.65749,0.17006,0.15371,0.05542,2.04948,2.65699,2.66043,0.000280723,0.000280723,0.000280723
86,263.523,1.97619,2.69211,2.59213,0.67334,0.17391,0.15699,0.06034,2.0286,2.64954,2.6466,0.00026422,0.00026422,0.00026422
87,266.135,2.01167,2.62407,2.59167,0.14662,0.17391,0.14682,0.06283,1.96413,2.60364,2.57424,0.000247716,0.000247716,0.000247716
88,268.682,1.98191,2.67773,2.54866,0.17862,0.19565,0.17106,0.07055,1.91006,2.61818,2.54997,0.000231213,0.000231213,0.000231213
89,271.281,1.97551,2.63025,2.54041,0.14918,0.13043,0.16839,0.07219,1.90601,2.62409,2.55629,0.00021471,0.00021471,0.00021471
90,274.739,1.98247,2.59054,2.52114,0.13231,0.19565,0.16943,0.06584,1.93569,2.65409,2.56362,0.000198206,0.000198206,0.000198206
